"YEAR","TANOM"
1901,-0.130724942243702
1902,-0.175508499146297
1903,-0.268689261543702
1904,-0.439553225481852
1905,-0.246007248208148
1906,-0.250504529035556
1907,-0.329870365284815
1908,-0.280558162266296
1909,-0.13192713702222
1910,-0.335679054260741
1911,-0.159371870536297
1912,-0.199719075804072
1913,-0.366688375120368
1914,-0.447608206007406
1915,-0.304884945905556
1916,-0.180792985139259
1917,-0.130200562655556
1918,-0.0356811947296301
1919,0.0931568498948145
1920,-0.0601445304029617
1921,0.0620441083540761
1922,0.0601607075437052
1923,-0.00289782771370284
1924,-0.145758487560741
1925,-0.223562275923332
1926,0.0431965721962975
1927,0.0024763036655564
1928,-0.0295772905711118
1929,-0.137018945482961
1930,-0.156273841858148
1931,-0.0834791395403691
1932,-0.132450704222592
1933,-0.0935057534114812
1934,0.081191062926667
1935,0.0737787529259251
1936,-0.000495310182962783
1937,-0.0564245647862975
1938,-0.0329617394351835
1939,-0.0409126634951846
1940,-0.0906601305366657
1941,0.0671377182007404
1942,0.294087233366298
1943,0.0506733081959254
1944,0.143149128666668
1945,0.0528117639040744
1946,0.0503370850174072
1947,0.000495310182962783
1948,-0.0807412465429636
1949,0.178239857708888
1950,0.0308818817133343
1951,0.223757637870371
1952,0.192083535370742
1953,0.086906962924445
1954,0.0653769528418522
1955,0.0811544700903717
1956,0.105574925740001
1957,0.0725114963666655
1958,0.180382304720371
1959,0.039652153296668
1960,0.21709085393778
1961,0.074340537742593
1962,0.00350457650703717
1963,-0.00903853663777809
1964,-0.0942801016351851
1965,-0.19587605087926
1966,-0.0265540017029622
1967,-0.0344633173070363
1968,-0.0407008065118504
1969,-0.243000666301853
1970,0.0645720870400019
1971,0.109913649381483
1972,0.0683509332162977
1973,0.22182839004963
1974,0.240684191384446
1975,0.0977937910285185
1976,0.109632527385926
1977,-0.00721920861148106
1978,0.136390615392592
1979,0.147161836977038
1980,0.242214061595558
1981,0.208401468064814
1982,0.247500737507409
1983,0.0742340794307417
1984,0.127129872639632
1985,0.210765626695185
1986,0.284852628354447
1987,0.253791279261854
1988,0.242288766082591
1989,0.358170579978889
1990,0.31691399326963
1991,0.452358987594444
1992,0.294350941974816
1993,0.149350236961851
1994,0.369268735249999
1995,0.404861662121853
1996,0.524382308676667
1997,0.583718017294814
1998,0.51444473972963
1999,0.710305637781854
2000,0.614509582518888
2001,0.581448908205186
2002,0.805048448066298
2003,0.730196599606668
2004,0.595709977325555
2005,0.66825386329926
2006,0.704633076985186
2007,0.829966651068521
2008,0.849876191880369
2009,0.667525609334074
2010,0.776213857861851
2011,0.902441377991853
2012,0.992164859064445
2013,1.07109362990741
2014,1.0181744186963
2015,0.891136098790373
2016,0.88237698872889
2017,1.02332221137111
2018,1.18842449894593
2019,1.21995427873296
2020,1.07742412001889
2021,1.09419243424
2022,1.16351583268963
2023,1.38481860690593
2024,1.33845064375
2025,1.40420917228259
2026,1.38032517609741
2027,1.21507694103074
2028,1.40529932799037
2029,1.35426666118445
2030,1.42693438353296
2031,1.45407976927519
2032,1.51123682657889
2033,1.55814202626519
2034,1.62445139001889
2035,1.58767392900111
2036,1.66949212109593
2037,1.75390610871407
2038,1.81884783285481
2039,1.77642405474518
2040,1.91236019134482
2041,1.81739453916185
2042,1.89517678154778
2043,1.88195362797333
2044,2.00478603221667
2045,2.04495719627074
2046,2.04916851608889
2047,2.15460826732408
2048,2.25195640987704
2049,2.16885001571074
2050,2.26206553423741
2051,2.31201454445148
2052,2.19264871102778
2053,2.18874023578704
2054,2.34626861854889
2055,2.42724831898889
2056,2.48664103613963
2057,2.44701985959593
2058,2.70064392796148
2059,2.72580044357815
2060,2.86624777758519
2061,2.61808540202852
2062,2.76860353681704
2063,2.83014739001296
2064,2.90831449296593
2065,3.06747560147815
2066,2.96223258972
2067,3.01491818604593
2068,3.18589482484
2069,3.14378466429519
2070,3.20450864014778
2071,3.29097511150111
2072,3.18000980659852
2073,3.31585831112222
2074,3.30808960949852
2075,3.33025964101074
2076,3.43591608824444
2077,3.49731434716074
2078,3.43681466137889
2079,3.45801999833741
2080,3.58917211603222
2081,3.61143829204407
2082,3.60293250613667
2083,3.52595558872815
2084,3.5218758406463
2085,3.72828169222185
2086,3.70658065654555
2087,3.84695155532222
2088,3.9481008670937
2089,3.85210824895704
2090,3.96767810538889
2091,4.05283959706481
2092,4.0729280754363
2093,4.17101856514222
2094,4.27523941463815
2095,4.16002100485222
2096,4.17563837545778
2097,4.30347636893926
2098,4.3894515920563
2099,4.48484155866778
