Year,Discard
1935,100
1936,100
1937,100
1938,100
1939,125
1940,200
1941,300
1942,525
1943,425
1944,575
1945,475
1946,300
1947,775
1948,1925
1949,2450
1950,1325
1951,1450
1952,1250
1953,975
1954,975
1955,975
1956,550
1957,775
1958,1525
1959,1375
1960,1475
1961,1425
1962,1925
1963,5600
1964,4900
1965,4400
1966,2100
1967,5500
1968,3600
1969,2600
1970,5533
1971,3127
1972,1159
1973,364
1974,980
1975,2715
1976,3021
1977,567
1978,1669
1979,720
1980,382
1981,95
1982,1376
1983,72
1984,28
1985,43
1986,19
1987,233
1988,252
1989,73
1990,818
1991,246
1992,1873
1993,1089
1994,148
1995,43
1996,96
1997,327
1998,482
1999,577
2000,694
2001,78
2002,53
2003,410
2004,460
2005,414
2006,384
2007,493
2008,409
2009,759
2010,289
2011,192
2012,188
