"Year","10 NMFS fall BTS","10 NMFS spring BTS"
1964,17.7722,NA
1965,11.7665,NA
1966,11.8334,NA
1967,8.1302,NA
1968,13.62,12.6747
1969,8.5258,17.78
1970,7.9952,15.7824
1971,12.579,14.256
1972,9.8397,19.3049
1973,22.9815,94.0688
1974,30.8396,36.3834
1975,8.2257,26.0691
1976,14.0577,18.6387
1977,17.6629,15.4411
1978,12.5237,31.2433
1979,23.2877,16.1988
1980,16.5066,24.1331
1981,6.7314,26.0813
1982,20.2502,101.9054
1983,6.0757,23.4843
1984,7.3941,15.2568
1985,10.0076,21.6948
1986,3.1104,16.6843
1987,3.7142,9.9318
1988,4.4226,13.4704
1989,5.6003,10.9433
1990,4.7112,11.7437
1991,11.5325,8.9346
1992,1.423,7.4413
1993,2.9538,6.9635
1994,2.1739,1.2094
1995,3.2573,8.3729
1996,5.6264,7.5029
1997,2.7102,5.214
1998,1.8938,11.6512
1999,2.8191,4.6681
2000,3.0101,8.2217
2001,1.3518,5.4726
2002,2.0932,5.0412
2003,11.2714,4.1946
2004,2.0933,14.3256
2005,5.8907,4.5417
2006,1.5714,6.0647
2007,2.645,5.0645
2008,1.1091,4.3134
2009,2.8832,3.4865
2010,4.2201,3.7766
2011,2.4793,1.8524
2012,3.0287,3.481
2013,1.6114,5.7188
2014,1.9927,3.5198
2015,1.3563,1.4667
2016,3.5032,4.1573
2017,3.5893,12.7598
